date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_d1d13_ar13
1946-01-01,1095.0249999999992,1444.198616180507,1197.389238901429,890,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361897,992,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396944,979,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908925,959,
1946-05-01,1385.0249999999992,1698.83927674319,1495.637495200308,1110,
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546,
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464293,1539,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883134,3401,
1946-09-01,2284.709210526315,2563.16412667662,2398.918483546477,2092,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101464,1436,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583494,1301,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016127,1287,
1947-01-01,1220.817543859648,1464.4041988594968,1362.532522178092,1488,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775216,1517,
1947-03-01,1339.8701754385957,1567.7415715928482,1481.374813379577,1707,
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632085,1729,
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389391,1788,
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412035,2008,
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203,
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713,
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891905,2946,
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088585,2082,
1947-11-01,1761.9228070175432,1926.933125937961,1892.249464606396,2033,
1947-12-01,1523.3964912280694,1680.5491727802937,1651.1630316531491,1937,
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467001,1711,
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376846,1775,
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448766,1902,1972.2558449289327
1948-04-01,1573.715350877192,1702.875218855802,1720.3580983675258,1846,1965.2077776186552
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161575,2083,2015.5355067383657
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896036,2262,2424.4744858631075
1948-07-01,2181.2942982456134,2289.827876740585,2319.036357644003,2193,2359.0735418264676
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223216,3792,3968.0454167379557
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968324,2343,2808.073884261493
1948-10-01,2067.241666666666,2155.148951222553,2194.0480161385376,2313,1778.0672838479368
1948-11-01,1887.715350877192,1968.747202998108,2010.424236632542,2179,2014.340903926257
1948-12-01,1649.1890350877184,1723.3454541304927,1767.5743435893703,1975,2064.639740338307
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471796,1880,1946.7376166864842
1949-02-01,1454.7710526315782,1516.6499199367477,1593.405778195703,1930,1920.0382763384187
1949-03-01,1591.4552631578938,1647.4409085529314,1726.134879014617,2060,1982.7815379669228
1949-04-01,1699.507894736841,1749.6003173662118,1830.0385892828697,1843,2044.2205330800784
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109872,2052,2085.3814693783934
1949-06-01,1916.8763157894728,1955.1822897114127,2038.5277329042335,2039,2220.6510949977437
1949-07-01,2307.0868421052623,2339.499588121153,2424.007903099451,2351,2249.044692701502
1949-08-01,3411.8763157894728,3438.395827846536,3523.873209059796,3394,3762.607581117477
1949-09-01,2662.0868421052623,2682.7131321167444,2768.9657560484266,3581,2548.4353384914266
1949-10-01,2193.034210526315,2207.7672754732785,2294.6013335390285,2489,2640.605934145344
1949-11-01,2013.5078947368413,2022.3477315388857,2109.569415215811,2468,2469.6987478975752
1949-12-01,1774.9815789473676,1777.9281869613233,1865.3436852893008,2134,2226.1934964846605
1950-01-01,1598.1951754385957,1595.7396557802526,1711.2244619976525,1903,2046.4588016074363
1950-02-01,1580.5635964912271,1573.1970613476833,1688.5203519306006,1719,1992.4703447260517
1950-03-01,1717.247807017543,1704.9702542539198,1819.9705216678208,1617,2074.5844593709207
1950-04-01,1825.3004385964905,1808.1118673572528,1922.6276027882636,1818,1683.141804259445
1950-05-01,1888.1951754385957,1866.0955849837767,1979.965279502452,2067,1980.5450024229017
1950-06-01,2042.668859649122,2015.6582482825595,2128.720393915652,2457,2195.6997235199233
1950-07-01,2432.8793859649118,2400.957750982352,2513.050840764705,2600,2317.670010183856
1950-08-01,3537.668859649122,3500.836194997788,3611.798725312768,3530,3950.1145212137853
1950-09-01,2787.8793859649118,2746.1357035580486,2855.806152822998,2693,2955.789534250798
1950-10-01,2318.8267543859643,2272.172051204635,2380.388912769081,2448,2185.362043995555
1950-11-01,2139.3004385964905,2087.734711560295,2194.336478835228,2250,2356.6332822085787
1950-12-01,1900.7741228070167,1844.297371272785,1949.1225352319632,1972,2083.9272758649695
1951-01-01,1723.9877192982449,1663.091044381767,1794.047400197443,1682,1834.4339849892567
1951-02-01,1706.3561403508763,1641.5306542392505,1770.4196803214018,1730,1632.1512663734024
